":LapTime",":Time","Speed","Speed Input","Steering Angle"
368,368,62.496,59,-128
369,369,59.868,62.8,-128
370,370,60.192,51.5,-128
371,371,51.048,52.6,-128
372,372,43.416,46.3,-128
373,373,36.648,35.1,-128
374,374,30.384,27.1,-128
375,375,34.668,35.5,-128
376,376,37.404,39,-128
377,377,57.168,60.4,-128
378,378,66.024,66,-128
379,379,75.456,79.1,-128
380,380,61.956,58.8,-128
381,381,70.92,72.9,-128
382,382,60.12,56.6,-128
383,383,73.764,75.8,-128
384,384,55.044,56.1,-128
385,385,46.656,43.3,-128
386,386,29.952,33.6,-128
387,387,36,35.3,-128
388,388,42.228,43.1,-128
389,389,44.46,46.8,-128
390,390,60.984,63,-128
391,391,56.196,55.8,-128
392,392,53.1,54.6,-128
393,393,44.028,42.5,-128
394,394,43.308,47.2,-128
395,395,43.632,41.6,-128
396,396,44.28,47.3,-128
397,397,45.612,43.8,-128
398,398,66.168,65.8,-128
399,399,77.148,77.6,-128
400,400,85.176,86.8,-128
401,401,65.772,63.1,-128
402,402,43.02,40.5,-128
403,403,46.476,48.5,-128
404,404,50.796,47.3,-128
405,405,63.576,68.2,-128
406,406,77.616,79.4,-128
407,407,88.272,91.3,-128
408,408,98.496,100.2,-128
409,409,97.416,95.8,-128
410,410,63.648,62.2,-128
411,411,46.764,44.7,-128
412,412,46.224,48.8,-128
413,413,50.616,54.5,-128
414,414,56.556,54.8,-128
415,415,67.032,69.7,-128
416,416,78.408,77,-128
417,417,72.756,71.3,-128
418,418,66.996,63.9,-128
419,419,43.452,40.3,-128
420,420,40.212,34.5,-128
421,421,59.292,59.8,-128
422,422,70.164,67.1,-128
423,423,57.672,58.4,-128
424,424,49.032,53,-128
425,425,47.916,44.7,-128
426,426,64.368,66.1,-128
427,427,63.504,64,-128
428,428,44.172,39.3,-128
429,429,33.66,27.8,-128
430,430,49.824,53,-128
431,431,64.908,68.3,-128
432,432,76.896,78.2,-128
433,433,88.884,87.9,-128
434,434,56.124,52.2,-128
435,435,49.032,53.6,-128
436,436,65.988,64.6,-128
437,437,74.052,64.5,-128
438,438,48.456,40.1,-128
439,439,40.968,40.8,-128
440,440,53.64,55.5,-128
441,441,70.344,73.4,-128
442,442,80.1,83,-128
443,443,74.808,77,-128
444,444,78.084,75.9,-128
445,445,54.936,54.7,-128
446,446,51.66,46.7,-128
447,447,39.6,35.9,-128
448,448,46.908,49.5,-128
449,449,42.012,39.6,-128
450,450,44.46,45.4,-128
451,451,48.888,53,-128
452,452,63.576,65.8,-128
453,453,72.432,66.9,-128
454,454,35.496,26.8,-128
455,455,34.56,31.9,-128
456,456,49.248,48.9,-128
457,457,39.564,44.7,-128
458,458,61.704,64,-128
459,459,72.216,74.5,-128
460,460,84.96,85.4,-128
461,461,93.744,95.1,-128
462,462,72.972,68,-128
463,463,68.256,68.6,-128
464,464,78.048,76.6,-128
465,465,51.228,36.1,-128
466,466,44.352,41.1,-128
467,467,60.048,63.1,-128
468,468,67.68,65.8,-128
469,469,46.908,47.4,-128
470,470,61.92,57.7,-128
471,471,57.564,58.5,-128
472,472,56.16,59,-128
473,473,54.684,51.5,-128
474,474,45.684,48.7,-128
475,475,44.712,39.8,-128
476,476,49.536,52.1,-128
477,477,64.44,67.7,-128
478,478,66.024,63.8,-128
479,479,35.64,31,-128
480,480,39.096,32.4,-128
481,481,58.932,60.5,-128
482,482,42.984,41.9,-128
483,483,29.016,37.5,-128
484,484,45.072,47.6,-128
485,485,66.6,68.1,-128
486,486,57.6,48.3,-128
487,487,43.308,39,-128
488,488,51.84,56.4,-128
489,489,41.832,32.6,-128
490,490,44.46,45.5,-128
491,491,40.716,38.4,-128
492,492,33.624,38.3,-128
493,493,44.244,38,-128
494,494,48.312,46.1,-128
495,495,58.824,58,-128
496,496,51.408,53.4,-128
497,497,70.2,71.5,-128
498,498,82.296,84.1,-128
499,499,87.3,83.9,-128
500,500,62.748,63,-128
501,501,57.888,58.6,-128
502,502,52.164,50.4,-128
503,503,52.668,52.8,-128
504,504,44.244,48.6,-128
505,505,40.716,38.3,-128
506,506,26.64,25.9,-128
507,507,40.896,41.6,-128
508,508,62.28,65.2,-128
509,509,60.48,59.4,-128
510,510,70.272,72.6,-128
511,511,80.424,79.7,-128
512,512,58.788,57,-128
513,513,63.936,62.5,-128
514,514,63.108,62.9,-128
515,515,57.312,57.7,-128
516,516,60.156,62.4,-128
517,517,43.992,42.3,-128
518,518,29.52,33.2,-128
519,519,33.372,32,-128
520,520,36.756,38.6,-128
521,521,41.616,45.4,-128
522,522,59.256,60.8,-128
523,523,49.464,52.7,-128
524,524,39.996,39.5,-128
525,525,43.2,43.8,-128
526,526,35.46,35.5,-128
527,527,42.48,45.2,-128
528,528,42.48,43.4,-128
529,529,47.988,49.4,-128
530,530,46.296,44.9,-128
531,531,65.448,65.5,-128
532,532,77.688,79.9,-128
533,533,87.984,90,-128
534,534,63.936,59.5,-128
535,535,43.812,42.1,-128
536,536,43.452,46.8,-128
537,537,53.496,49.4,-128
538,538,55.512,58.8,-128
539,539,69.48,71.6,-128
540,540,81.72,83.4,-128
541,541,91.008,92.6,-128
542,542,100.584,100.1,-128
543,543,72.972,69.8,-128
544,544,51.3,50.5,-128
545,545,45.072,46.7,-128
546,546,40.32,38.2,-128
547,547,41.688,44.9,-128
548,548,55.512,58.5,-128
549,549,66.132,67.2,-128
550,550,79.344,78.2,-128
551,551,65.304,69.9,-128
552,552,63.936,59.8,-128
553,553,39.672,35.1,-128
554,554,35.892,34.2,-128
555,555,61.488,63.8,-128
556,556,63.072,56.3,-128
557,557,53.64,52.7,-128
558,558,51.696,54.2,-128
559,559,48.456,42.1,-128
560,560,66.888,69.8,-128
561,561,56.736,60.5,-128
562,562,46.044,37.5,-128
563,563,30.6,26.9,-128
564,564,42.156,47.4,-128
565,565,54.792,57,-128
566,566,69.696,72.1,-128
567,567,83.304,85.4,-128
568,568,69.696,63.7,-128
569,569,47.484,48.7,-128
570,570,57.888,56.5,-128
571,571,73.404,71.4,-128
572,572,49.536,43.6,-128
573,573,45,39.7,-128
574,574,60.768,61.7,-128
575,575,73.872,77,-128
576,576,84.744,86.2,-128
577,577,78.588,80.2,-128
578,578,87.264,87,-128
579,579,58.608,56,-128
580,580,51.588,50.8,-128
581,581,38.412,35.4,-128
582,582,42.696,46,-128
583,583,44.136,42.1,-128
584,584,40.788,43.5,-128
585,585,55.764,59.6,-128
586,586,68.184,71.2,-128
587,587,61.668,58.9,-128
588,588,33.228,31,-128
589,589,40.932,31.8,-128
590,590,53.172,54.5,-128
591,591,50.292,52,-128
592,592,68.364,72,-128
593,593,78.912,79.5,-128
594,594,88.2,89.1,-128
595,595,91.476,85.9,-128
596,596,63.468,64.8,-128
597,597,68.256,71.5,-128
598,598,68.76,65.5,-128
599,599,42.012,35.6,-128
600,600,45.828,46.5,-128
601,601,59.4,62.3,-128
602,602,62.1,59.8,-128
603,603,47.052,50.4,-128
604,604,62.892,58.8,-128
605,605,54.18,47.1,-128
606,606,59.436,62.3,-128
607,607,54.504,52.1,-128
608,608,39.492,41,-128
609,609,43.596,38.9,-128
610,610,47.988,51.1,-128
611,611,64.728,67.6,-128
612,612,68.076,63.4,-128
613,613,35.568,32.1,-128
614,614,40.68,35.7,-128
615,615,61.776,61.1,-128
616,616,42.876,43.8,-128
617,617,35.496,38.9,-128
618,618,49.32,51.4,-128
619,619,69.012,69.6,-128
620,620,54.036,51.1,-128
621,621,41.652,37.7,-128
622,622,56.016,57.8,-128
623,623,35.172,31.2,-128
624,624,44.244,47.4,-128
625,625,43.452,38.7,-128
626,626,34.776,36.9,-128
627,627,51.336,48.7,-128
628,628,58.284,61.3,-128
629,629,69.624,67.1,-128
630,630,82.836,84.9,-128
631,631,91.08,91.6,-128
632,632,94.608,91.7,-128
633,633,61.56,60.2,-128
634,634,62.28,62.3,-128
635,635,51.516,49.6,-128
636,636,47.88,48.1,-128
637,637,50.616,45.7,-128
638,638,36,33,-128
639,639,36.504,34.1,-128
640,640,50.796,52,-128
641,641,64.008,67.9,-128
642,642,67.68,66.8,-128
643,643,81.216,84.1,-128
644,644,62.784,59.5,-128
645,645,76.284,79.3,-128
646,646,68.544,67,-128
647,647,73.152,70.9,-128
648,648,64.188,31.4,-128
649,649,41.76,41.1,-128
650,650,36.648,39.7,-128
651,651,39.996,34.9,-128
652,652,40.608,44.9,-128
653,653,57.348,57.2,-128
654,654,66.024,67,-128
655,655,51.372,47.8,-128
656,656,55.152,54.6,-128
657,657,49.68,50.8,-128
658,658,47.952,44.4,-128
659,659,47.484,50.8,-128
660,660,49.104,43.2,-128
661,661,63,62.7,-128
662,662,76.068,78.4,-128
663,663,86.112,89.1,-128
664,664,70.344,65,-128
665,665,51.624,49.8,-128
666,666,51.12,54.2,-128
667,667,48.78,43.9,-128
668,668,60.48,65.3,-128
669,669,72.684,75.1,-128
670,670,86.256,88.2,-128
671,671,97.524,99.4,-128
672,672,103.86,102.2,-128
673,673,72.18,70.1,-128
674,674,51.372,53.5,-128
675,675,47.124,42.6,-128
676,676,50.58,51.4,-128
677,677,54.36,46.4,-128
678,678,71.316,73.9,-128
679,679,84.096,85.4,-128
680,680,80.028,78.8,-128
681,681,52.164,49.6,-128
682,682,38.988,34.1,-128
683,683,50.508,48.3,-128
684,684,70.056,70.3,-128
685,685,55.512,53.2,-128
686,686,48.996,50.7,-128
687,687,47.664,44.2,-128
