Time,SpeedMPS,RPM,PowerW,Torque,Efficiency_Percent,PowerLoss_W
833.9,13.12,2142.6272,21318.01862,90.93382889,96.3802411795002,771.66085935323
834,13.56,2214.4836,21688.47423,89.51210848,96.4443568806906,771.164741642176
834.1,14.29,2333.6999,36600.53103,143.3400771,96.95054348991,1116.11727622184
834.2,14.52,2371.2612,13308.90425,51.29655036,93.5064638927113,864.218502958229
834.3,14.96,2443.1176,24304.72836,90.92255975,96.8198820072872,772.91903965634
834.4,15.34,2505.1754,21975.62795,80.17305082,96.2577739926445,822.377664424584
834.5,15.95,2604.7945,35161.7027,123.3734434,97.6941863387625,810.763344380299
834.6,16.29,2660.3199,21458.8732,73.72220311,95.8410381790613,892.466343591637
834.7,16.87,2755.0397,35853.10124,118.9389556,97.8012322989559,788.326409887771
834.8,17.46,2851.3926,37905.84348,121.4994751,97.8537697025012,813.546697290228
834.9,18.24,2978.7744,51297.1309,157.3912981,97.0552310588164,1510.58197846149
835,18.35,2996.7385,10726.42664,32.71383615,90.4304105914335,1026.4749876591
835.1,17.52,2861.1912,0.011764706,3.75802e-05,84.024082072486,0.00187951977497332
835.2,17.06,2786.0686,0.011764706,3.85935e-05,84.1981982006022,0.00185903552440186
835.3,16.53,2699.5143,0.011764706,3.9831e-05,84.373021667176,0.00183846805754044
835.4,16.01,2614.5931,0.011764706,4.11247e-05,84.5170343281839,0.00182152539137009
835.5,15.22,2485.5782,0.011764706,4.32592e-05,84.6839573779156,0.00180188738532292
835.6,14.73,2405.5563,0.011764706,4.46983e-05,84.755732485428,0.0017934432549429
835.7,13.92,2273.2752,0.011764706,4.72993e-05,84.8205011124287,0.00178582341639603
835.8,13.29,2170.3899,0.011764706,4.95414e-05,84.824218042271,0.00178538613052786
835.9,12.71,2075.6701,0.011764706,5.18022e-05,84.7911906954753,0.00178927170077798
836,12.58,2054.4398,0.011764706,5.23375e-05,84.7789657206643,0.00179070993312307
836.1,12.24,1998.9144,0.011764706,5.37913e-05,84.7386742080346,0.00179545011112691
836.2,12.42,2028.3102,8883.872788,40.03070246,91.7218772860277,735.417891143831
836.3,12.86,2100.1666,20415.26994,88.84369941,96.2020328033997,775.365255418598
836.4,12.87,2101.7997,1882.344104,8.185268821,86.5126704391686,253.877952775359
836.5,13.44,2194.8864,27205.67083,113.2850619,97.0685576773372,797.518548874943
836.6,13.42,2191.6202,700.1107291,2.919622442,85.459375197453,101.800474320807
836.7,13.81,2255.3111,19863.64612,80.49664256,96.0131983772402,791.924165851416
836.8,13.99,2284.7069,10346.89366,41.3908883,92.1938652237518,807.692464254683
836.9,14.4,2351.664,21816.25317,84.78717172,96.3975150098635,785.927245859436
837,14.59,2382.6929,11428.12217,43.83611508,92.5763680823631,848.381724998655
837.1,14.75,2408.8225,10102.08221,38.32934113,91.8213073303608,826.218257190197
837.2,14.88,2430.0528,8716.238095,32.78224032,90.9897931700109,785.351080153798
837.3,14.86,2426.7866,1122.733032,4.22834258,85.6759802673097,160.820501049112
837.4,14.82,2420.2542,96.31371528,0.363707627,84.8262494315174,14.6144029198257
837.5,14.51,2369.6281,0.011764706,4.5376e-05,84.7799372158231,0.00179059563957383
837.6,14.11,2304.3041,0.011764706,4.66623e-05,84.8114505730025,0.00178688818575094
837.7,13.82,2256.9442,0.011764706,4.76415e-05,84.8238665339309,0.00178542748445064
837.8,13.67,2232.4477,0.011764706,4.81643e-05,84.8268823253036,0.00178507268546206
837.9,14,2286.34,17390.78471,69.51901642,95.2557602665986,825.060518162116
838,14.26,2328.8006,14442.19005,56.67949946,94.0819964047303,854.689326394682
838.1,14.34,2341.8654,5840.648798,22.79420329,89.333942711077,622.966946839475
838.2,14.38,2348.3978,3912.196612,15.22559462,87.9501759743936,471.412807281734
838.3,14.59,2382.6929,12410.02805,47.60252033,93.0628886431025,860.897465250711
838.4,14.66,2394.1246,5551.727524,21.19369347,89.049157469089,607.960938898482
838.5,14.26,2328.8006,0.011764706,4.61715e-05,84.8015013613816,0.00178805868124746
838.6,13.9,2270.009,0.011764706,4.73673e-05,84.8212565454186,0.00178573454192574
838.7,13.83,2258.5773,0.011764706,4.76071e-05,84.8236141556986,0.00178545717600768
838.8,13.46,2198.1526,0.011764706,4.89157e-05,84.8273067008746,0.0017850227589238
838.9,13.61,2222.6491,8606.261569,35.389049,91.3015881321313,748.608077697716
839,13.79,2252.0449,10154.19778,41.20916626,92.1447096482323,797.641718511747
839.1,13.79,2252.0449,1740.786017,7.064697963,86.3348486868788,237.881043260706
839.2,13.82,2256.9442,3164.127417,12.81322336,87.4846511988578,396.00158275012
839.3,13.89,2268.3759,5084.382955,20.48559037,88.9127400971158,563.718752678796
839.4,13.92,2273.2752,3209.202829,12.90239719,87.5039537758626,401.023468938166
839.5,14,2286.34,5624.461176,22.48357481,89.2696975899382,603.521693121319
839.6,14.08,2299.4048,5674.822287,22.55600005,89.2856429264047,608.020723121149
839.7,14.06,2296.1386,875.4970953,3.48483215,85.5767887437961,126.274795597048
839.8,13.83,2258.5773,0.011764706,4.76071e-05,84.8236141556986,0.00178545717600768
839.9,13.38,2185.0878,0.011764706,4.92082e-05,84.8263087767981,0.00178514016175751
840,13.33,2176.9223,0.011764706,4.93928e-05,84.8252213015458,0.00178526810002376
840.1,12.83,2095.2673,0.011764706,5.13177e-05,84.8008989906492,0.00178812954839316
840.2,12.85,2098.5335,2313.523733,10.07588744,86.8847966889534,303.423341232266
840.3,13.37,2183.4547,24858.88838,104.0549567,96.8982069755681,771.071265722154
840.4,13.14,2145.8934,0.011764706,5.0107e-05,84.8191267062044,0.00178598511124756
840.5,12.91,2108.3321,0.011764706,5.09997e-05,84.8065833163697,0.00178746080418406
840.6,12.73,2078.9363,0.011764706,5.17208e-05,84.7929585885657,0.0017890637133535
840.7,12.71,2075.6701,527.6577051,2.323374453,85.2894157928837,77.6215310340731
840.8,12.61,2059.3391,0.011764706,5.2213e-05,84.7819990954659,0.00179035306549578
840.9,12.41,2026.6771,0.011764706,5.30544e-05,84.7604243647931,0.00179289126912972
841,12.83,2095.2673,19515.07989,85.12480951,96.0062026927897,779.392735146757
841.1,13.35,2180.1885,24816.9164,104.0348938,96.8914348671865,771.450010249864
841.2,13.02,2126.2962,0.011764706,5.05688e-05,84.8132899492232,0.00178667178854634
841.3,14.05,2294.5055,49395.57706,196.7542921,93.3127657994565,3303.19792271215
841.4,13.55,2212.8505,0.011764706,4.85908e-05,84.8276526462826,0.00178498205946364
841.5,12.76,2083.8356,0.011764706,5.15992e-05,84.7956003257728,0.00178875292073779
841.6,12.71,2075.6701,0.011764706,5.18022e-05,84.7911906954753,0.00178927170077798
841.7,12.27,2003.8137,0.011764706,5.36598e-05,84.7428555007055,0.00179495819433716
841.8,11.95,1951.5545,0.011764706,5.50967e-05,84.6946498338196,0.00180062944932164
841.9,11.4,1861.734,0.011764706,5.77549e-05,84.5868523441886,0.0018133115070521
842,11.06,1806.2086,0.011764706,5.95303e-05,84.504229346225,0.00182303185985091
842.1,10.94,1786.6114,0.011764706,6.01833e-05,84.4720812839801,0.00182681398485872
842.2,10.62,1734.3522,0.011764706,6.19968e-05,84.378688444206,0.00183780137788319
842.3,10.85,1771.9135,9342.220109,48.18732665,92.1965953861953,729.011235017492
842.4,11.02,1799.6762,7298.614501,37.06562325,90.8789566062198,665.709795780945
842.5,11.19,1827.4389,7436.223602,37.19074084,90.9593411970592,672.283603680571
842.6,11.55,1886.2305,15046.66453,72.90725214,94.776111047147,786.021046155523
842.7,11.8,1927.058,11102.67602,52.65724529,93.0581336026733,770.732935836435
842.8,11.73,1915.6263,0.011764706,5.61301e-05,84.6553305124539,0.00180525525188151
842.9,11.4,1861.734,0.011764706,5.77549e-05,84.5868523441886,0.0018133115070521
843,11.16,1822.5396,0.011764706,5.89969e-05,84.5297455332347,0.00182002995546681
843.1,11.3,1845.403,6385.133807,31.62307042,90.212200005149,624.964126432778
843.2,11.47,1873.1657,7665.310258,37.4006195,91.0859243597675,683.291554456624
843.3,11.04,1802.9424,0.011764706,5.96382e-05,84.4988931767207,0.00182365964450475
843.4,11.47,1873.1657,17573.75732,85.74596311,95.5198108643738,787.337566171948
843.5,11.81,1928.6911,14649.55861,69.42040099,94.6184615846031,788.371624283228
843.6,12.34,2015.2454,23123.76057,104.8710895,96.5527924457035,797.124021206482
843.7,12.71,2075.6701,17206.58123,75.76375911,95.3977757668109,791.885451070435
843.8,12.89,2105.0659,9310.182209,40.42199455,91.8841848966233,755.597173869913
843.9,14.03,2291.2393,54176.34562,216.1048491,91.2433455271032,4744.03539198578
844,14.28,2332.0668,13988.78696,54.82319285,93.8825234899044,855.760756325316
844.1,14.76,2410.4556,25876.54371,98.11431728,97.0803720071072,755.498813750302
844.2,14.89,2431.6859,8724.660078,32.7918783,90.9913025337283,785.978231387605
844.3,15.17,2477.4127,16621.12946,61.31792181,94.6596641952627,887.624127704126
844.4,15.36,2508.4416,12237.86798,44.58892726,92.7029758785688,893.00017844951
844.5,15.61,2549.2691,15657.86598,56.136088,94.1269598427934,919.592756766998
844.6,15.74,2570.4994,9459.628289,33.63425552,91.0916486893171,842.696920668862
844.7,15.71,2565.6001,884.5161136,3.150953832,85.3023188916458,130.003357728936
844.8,16.19,2643.9889,28833.01284,99.66797912,97.3438156722987,765.857968260169
844.9,16.6,2710.946,25843.07229,87.12615137,96.7833628213153,831.277871394515
845,16.92,2763.2052,21367.61806,70.67539257,95.5738773861154,945.756975002154
845.1,17.64,2880.7884,45900.0794,145.6221142,97.4936413326262,1150.42061837338
845.2,17.77,2902.0187,11377.36095,35.8316316,91.1124195210048,1011.17211081702
845.3,18.29,2986.9399,35812.05476,109.5791709,97.7051044093336,821.849265614285
845.4,18.6,3037.566,23519.9585,70.76786326,95.399316064803,1082.07895227451
845.5,19.38,3164.9478,55045.24344,158.9565763,97.0195492154703,1640.59638995374
845.6,19.66,3210.6746,23345.37834,66.45533919,94.7254472308141,1231.36429970939
845.7,20.28,3311.9268,47376.93443,130.7409033,97.767970597945,1057.46710626991
845.8,20.68,3377.2508,33379.48296,90.33198355,96.5157496137655,1163.02476395689
845.9,20.32,3318.4592,0.011764706,3.24019e-05,82.5183559997035,0.00205666402060152
846,19.45,3176.3795,0.011764706,3.38512e-05,83.0673914733223,0.00199207161129456
846.1,18.61,3039.1991,0.011764706,3.53791e-05,83.5283070713133,0.00193784624628278
846.2,17.99,2937.9469,0.011764706,3.65984e-05,83.8246434375096,0.00190298314402871
846.3,16.77,2738.7087,0.011764706,3.92609e-05,84.2974052169721,0.00184736411059457
846.4,16.01,2614.5931,0.011764706,4.11247e-05,84.5170343281839,0.00182152539137009
846.5,14.72,2403.9232,0.011764706,4.47286e-05,84.7569824170689,0.00179329620416015
846.6,13.83,2258.5773,0.011764706,4.76071e-05,84.8236141556986,0.00178545717600768
846.7,12.43,2029.9433,0.011764706,5.29691e-05,84.7627013393623,0.00179262338976597
846.8,11.51,1879.6981,0.011764706,5.72029e-05,84.6109470921863,0.00181047683078873
846.9,10.34,1688.6254,0.011764706,6.36756e-05,84.2882377667056,0.00184844263416612
847,9.64,1574.3084,0.011764706,6.82993e-05,84.024751606061,0.00187944100631665
847.1,8.56,1397.9336,0.011764706,7.69165e-05,83.514037711496,0.00193952499451336
847.2,8.11,1324.4441,0.011764706,8.11844e-05,83.2636047165424,0.00196898770009665
847.3,7.87,1285.2497,0.011764706,8.36602e-05,83.1209014939724,0.00198577631468454
847.4,7.94,1296.6814,2310.730939,16.28700961,86.1640592600661,319.711363379359
847.5,7.98,1303.2138,1514.184425,10.61911586,85.2048410645208,224.025992255022
847.6,8.04,1313.0124,2075.226601,14.44514657,85.9143677510493,292.30878734926
847.7,7.81,1275.4511,0.011764706,8.43029e-05,83.084213828488,0.00199009251066705
847.8,8.15,1330.9765,9706.624196,66.65351897,92.422186428847,735.549885625305
847.9,7.87,1285.2497,0.011764706,8.36602e-05,83.1209014939724,0.00198577631468454
848,7.68,1254.2208,0.011764706,8.57299e-05,83.0034183378724,0.00199959786259922
