Time,SpeedMPS,RPM,PowerW,Torque,RpmFiltered,Efficiency_Percent,PowerLoss_W
29.8,13.34,2178.5554,7027.466729,29.48189835,2178.5554,90.3692643086745,676.796746465831
29.9,14.05,2294.5055,35006.11824,139.4376668,2294.5055,97.0000569782702,1050.16360131937
30.9,11.01,1798.0431,8029.542413,40.81463842,1798.0431,91.3691399027511,693.018572115296
31,11.25,1837.2375,10122.8625,50.35739911,1837.2375,92.6035069654808,748.736819706454
31.1,11.37,1856.8347,5668.288984,27.89998661,1856.8347,89.6750786002673,585.246382307705
31.2,11.46,1871.5326,4564.652172,22.29130777,1871.5326,88.8062237714304,510.956949746221
31.4,11.41,1863.3671,18966.90324,93.03005125,1863.3671,95.813424850591,794.063657658286
31.6,11.54,1884.5974,13120.47474,63.6291639,1884.5974,94.0342143054875,782.739405091047
31.7,12.22,1995.6482,28817.70471,131.9777308,1995.6482,96.5168370114781,1003.76762460024
31.8,12.47,2036.4757,11855.55171,53.20687983,2036.4757,93.3298424834858,790.783973508788
31.9,12.5,2041.375,2612.435294,11.69628671,2041.375,87.1514849144682,335.659142849348
32.4,11.15,1820.9065,18852.77481,94.62652433,1820.9065,95.7512936583601,800.999038927553
32.5,11.56,1887.8636,16967.74065,82.14453194,1887.8636,95.3681474092463,785.920734889393
32.6,11.54,1884.5974,291.045328,1.411455854,1884.5974,84.9150057295887,43.9041710530997
32.7,12.02,1962.9862,20493.57335,95.41698705,1962.9862,96.1623601917985,786.46952900258
32.8,12.46,2034.8426,19697.54618,88.47214581,2034.8426,96.046540429731,778.734524561369
32.9,12.64,2064.2384,9082.223552,40.21217737,2064.2384,91.8001403372309,744.729585522961
33,13.03,2127.9293,18570.46544,79.76104751,2127.9293,95.7585560289989,787.655886791719
33.1,13.99,2284.7069,46059.88189,184.2542786,2284.7069,94.4259888742639,2567.38294104951
33.2,14.15,2310.8365,9548.507538,37.76517759,2310.8365,91.7038172257942,792.161637561303
33.3,14.82,2420.2542,35232.54313,133.0479736,2420.2542,97.3609105887579,929.818315055148
33.4,15.43,2519.8733,33850.11906,122.7740975,2519.8733,97.6051518102411,810.658963539658
33.5,15.93,2601.5283,29340.83851,103.0787685,2601.5283,97.4265317146142,755.077173721122
33.6,16.51,2696.2481,34961.85901,118.511343,2696.2481,97.7628661401531,782.143585944647
33.7,17.09,2790.9679,36401.44657,119.2035134,2790.9679,97.8203167764371,793.436224020503
33.8,17.58,2870.9898,32399.2379,103.1403023,2870.9898,97.5303697334105,800.141385322735
33.9,17.95,2931.4145,26052.33532,81.22592809,2931.4145,96.3599221766001,948.325280461094
34,18.38,3001.6378,30527.48316,92.95183531,3001.6378,97.061032904666,897.192685106014
35.5,7.72,1260.7532,5338.639563,38.70131984,1260.7532,89.2960704446677,571.444218036617
35.6,7.97,1301.5807,7117.936056,49.98137928,1301.5807,90.7735317847678,656.734107787395
35.7,8.37,1366.9047,11629.07837,77.75571425,1366.9047,93.3343834491719,775.149772539495
35.8,8.53,1393.0343,5114.544039,33.55601402,1393.0343,89.1614586498993,554.341970536126
35.9,8.7,1420.797,5523.169958,35.52888929,1420.797,89.5307652743367,578.23362720034
36.1,9,1469.79,16366.99647,101.7744948,1469.79,94.7431727311701,860.384733523383
36.4,8.68,1417.5308,8681.739237,55.97569417,1417.5308,91.8549321078005,707.13355507737
36.5,9.03,1474.6893,11150.68399,69.10766729,1474.6893,93.1942396730576,758.888827174135
36.6,9.08,1482.8548,2129.362701,13.12430365,1482.8548,86.2764254656777,292.224677377793
36.7,9.2,1502.452,4346.023228,26.43727519,1502.452,88.5246814093091,498.720011438429
36.8,9.19,1500.8189,288.6611303,1.757864001,1500.8189,84.1831496749014,45.657098926289
36.9,9.47,1546.5457,9562.026734,56.50832711,1546.5457,92.3848688457651,728.160876797102
37,9.62,1571.0422,5560.02381,32.34551388,1571.0422,89.6066314297144,577.873767168935
37.1,10.27,1677.1937,22851.58219,124.5255038,1677.1937,95.6673606585632,990.076640104717
37.2,10.63,1735.9853,13705.99958,72.15890354,1735.9853,94.3086186784559,780.060700027034
37.3,11.33,1850.3023,27251.10798,134.6067165,1850.3023,96.0597397255116,1073.76458209389
37.4,11.83,1931.9573,20906.43011,98.90257806,1931.9573,96.1954748623187,795.390388926716
